territory_id,state,year,x3_farming,x4_non_vegetated_area,x1_forest,x2_non_forest_natural_formation,x5_water,non_observed
1501105,PA,2013,5134.96833329467,94.8000621582028,405249.413142673,2767.64825056761,26487.048825202,
1501105,PA,2014,3949.49699054566,94.8894118835446,406527.462504988,2819.19048640135,26342.8392200806,
1501105,PA,2015,4073.52176133424,95.1574616821286,406297.20611813,2818.2089029968,26449.7843697575,
1501105,PA,2016,8343.11568804322,96.9444606201169,401755.721547306,3066.19502731322,26471.9018906007,
1501105,PA,2017,9395.77435595089,99.6249558471677,400900.128138537,3110.86175964354,26227.4894039063,
1501105,PA,2018,9821.7934402526,105.254002185058,400669.597526898,3147.50369219969,25989.7299523437,
1501105,PA,2019,9300.57249744263,105.343351556396,401442.812087841,3058.5018338806,25826.6488431516,
1501204,PA,2000,58165.0863181533,176.35084720459,277943.477982239,11745.5379695619,27803.9820292179,0.624962921142578
1501204,PA,2001,54952.4856628191,186.351697827148,281267.55405597,11606.0355487428,27822.0081810001,0.624962921142578
1501204,PA,2002,53092.1337950632,192.423604797363,285811.793550509,11744.7725208802,24993.3116751163,0.624962921142578
1501204,PA,2003,54963.1801362725,196.620418334961,283180.054159163,11080.5762449158,26414.0041876896,0.624962921142578
1501204,PA,2004,56973.8002682165,204.031736743164,279561.063542764,10558.4275598144,28537.1120388797,0.624962921142578
1501204,PA,2005,65114.1931828679,210.728635186767,271830.010009837,10400.247294983,28279.2560235782,0.624962921142578
1501204,PA,2006,72666.2573682864,216.979099884033,264478.043711089,10591.2029907166,27881.9519764713,0.624962921142578
1501204,PA,2007,73478.5379469348,224.747273077393,264212.269841195,9937.50528796399,27981.3747972721,0.624962921142578
1501204,PA,2008,72545.1942745537,233.051081347656,265603.230840133,9419.0085908874,28033.9503595279,0.624962921142578
1501204,PA,2009,75447.1290408947,242.426786871338,262901.67922139,9025.25617095315,28217.9439263552,0.624962921142578
1501204,PA,2010,77920.3106085944,248.230705670166,261048.248522224,8523.42851722396,28094.2167927494,0.624962921142578
1501204,PA,2011,76634.7366933787,253.677578106689,262123.763005095,8828.19078102392,27994.0670888554,0.624962921142578
1501204,PA,2012,72599.6660344936,254.838367041016,267634.994246266,7336.57791895736,28008.1800119998,0.803530621337891
1501204,PA,2013,72776.1438584322,268.500220758057,267618.309602641,7238.99576669298,27932.307130225,0.803530621337891
1501204,PA,2014,70570.910514569,277.429622033692,270215.799754982,7217.79481515492,27552.3218720218,0.803530621337891
1501204,PA,2015,69679.5710431997,285.912355456542,272394.13101476,6079.36057705073,27395.281588306,0.803530621337891
1501204,PA,2016,70993.569136954,297.609677185059,271293.188368975,6018.37456819453,27231.5148274662,0.803530621337891
1501204,PA,2017,75008.1691066105,304.217413848875,266644.622943145,7198.1611724975,26679.0859426517,0.803530621337891
1501204,PA,2018,79095.3243793365,333.058785656737,262310.99852343,7457.57332207632,26637.3908520938,0.714246759033203
1501204,PA,2019,80435.6805557931,338.237404638672,259512.432773673,8579.87349356675,26968.1216349124,0.714246759033203
1501253,PA,2000,139503.080060774,30.3294493164062,152615.223101334,3415.88846270746,99.4719845947266,
1501253,PA,2001,143626.439554217,31.8370530944825,148558.001218705,3387.34432598261,60.3709067260742,
1501253,PA,2002,152403.989622817,32.635196447754,139965.031369309,3227.32279346917,35.0140766845703,
1501253,PA,2003,159934.996004172,32.635196447754,132026.482485872,3579.09769422603,90.7816780029296,
1501253,PA,2004,167023.064020851,32.8125618041993,124347.627949467,4089.90889365854,170.579632940674,
1501253,PA,2005,174411.841218078,32.8125618041993,116849.025218601,4207.8046290162,162.509431207275,
1501253,PA,2006,183457.506349986,32.9012450561524,107666.668060501,4365.50586501468,141.411538140869,
1501253,PA,2007,191146.857218561,37.3353622131348,99890.6190310775,4495.3822510681,93.7991957580567,
1501253,PA,2008,197396.839801017,37.5127273559571,93586.0277380725,4512.05298795779,131.559804290772,
1501253,PA,2009,198639.273513541,38.2221879882813,92338.9871432158,4521.88824154061,125.621972406006,
1501253,PA,2010,199004.183033995,38.7542822692872,91912.0176054093,4541.03750571908,168.000631292725,
1501253,PA,2011,200116.553864007,38.8429645812989,90742.8201403328,4661.87824653937,103.897843225098,
1501253,PA,2012,201324.98328063,38.8429645812989,89417.0148477748,4767.37549276737,115.776472937012,
1501253,PA,2013,201164.427861184,42.5676317138673,89553.7187923142,4785.01959035038,118.259183129883,
1501253,PA,2014,201977.519086557,44.0752288269045,88760.6576739797,4761.08677630617,120.654293023682,
1501253,PA,2015,201409.266368549,44.1639111877443,89502.2236469583,4520.8337455262,187.505386468506,
1501253,PA,2016,202473.63452906,44.4299587463381,88340.2507299243,4588.83305310067,216.844787854004,
1501253,PA,2017,203726.793780648,44.4299587463381,86958.447869989,4722.62240761722,211.699041693115,
1501253,PA,2018,205087.946593812,46.8243970764162,85804.7230458958,4520.77380297861,203.725218933105,
1501253,PA,2019,204571.375891399,48.420682739258,86390.1129473357,4547.62124531251,106.462291912842,
1501303,PA,2000,5273.58347614746,1940.94684840089,71743.7352454996,211.086143481445,51886.2176751248,
1501303,PA,2001,5604.49830938113,1963.10964959718,71554.2012688528,280.883816577148,51652.8763442487,
1501303,PA,2002,6106.98384323734,2016.10344988404,71487.3924216897,295.091272137451,51149.9984017061,
1501303,PA,2003,6123.24839645998,2162.21666332396,70818.6540314194,260.327659826659,51691.1226376252,
1501303,PA,2004,5864.45381503301,2222.71802519528,71077.3604239721,300.007465417481,51591.0296590365,
1501303,PA,2005,5892.69517370608,2342.28994343871,71041.525032565,312.517978637695,51466.5412603069,
1501303,PA,2006,6165.79364230964,2428.3499772278,71194.8936626922,282.311011376953,50984.2210950475,
1501303,PA,2007,5875.5422728699,2539.16373713382,70836.4257820479,323.152884777832,51481.2847118258,
1501303,PA,2008,6220.48575276499,2654.53531387332,70320.1670505049,224.49088527832,51635.8903862333,
1501303,PA,2009,7072.29363007196,2788.8523528931,69370.5043138736,233.159534649659,51590.7595571688,
1501303,PA,2010,6832.88415294794,2871.24844119265,69541.2838407033,273.555045959472,51536.5979078524,
1501303,PA,2011,6157.29896278677,2943.27786017455,70257.3544285631,239.86279588623,51457.7753412445,
1501303,PA,2012,5620.40487631224,3018.16810054322,70547.3289940584,219.130052374268,51650.5373653654,
1501303,PA,2013,5677.51307840578,3016.29022612914,70501.9287282864,273.10768972168,51586.7296661107,
1501303,PA,2014,5503.2576714111,3149.80325650637,70472.4274426065,237.360123168946,51692.7208949607,
1501303,PA,2015,5538.5584087097,3216.47031054079,70213.3508613273,199.915185040283,51887.2746230366,
1501303,PA,2016,6259.62055769648,3349.26910612792,69547.5207629866,175.874991113281,51723.2839707296,
1501303,PA,2017,6610.73213486325,3431.75399421385,69106.952181101,217.521002581787,51688.6100758937,
1501303,PA,2018,6319.24174085077,3533.98790072012,69281.6399032643,270.249713763427,51650.4501300565,
1501303,PA,2019,6950.66896200557,3535.6858532714,68942.8917597138,478.124827423097,51148.1979862408,
1501402,PA,2000,3138.75613667603,13315.857485864,32782.8799782496,373.959693408204,56331.9669850792,
1501402,PA,2001,2936.0425138916,13488.5296990417,32955.6579152419,268.848172161865,56294.3419789389,
1501402,PA,2002,2915.13364489745,13733.688020111,33148.6150640994,251.865903387452,55894.1176467776,
1501402,PA,2003,2948.38779338989,13852.6454494811,32609.0504660847,225.767118859864,56307.5694514609,
1501402,PA,2004,2683.92262617189,13892.6867723632,32865.8267717109,253.831878839112,56247.1522301901,
1501402,PA,2005,2576.04466401366,13984.2076222533,33044.9385455742,288.599761486817,56049.6296859456,
1501402,PA,2006,2665.42140841674,14109.1562285033,33649.6492270643,297.893420269776,55221.2999950228,
1501402,PA,2007,2573.81852911375,14227.8486883666,32658.9121360041,309.870425018311,56172.9705007711,
1501402,PA,2008,2745.33813925171,14364.4178544126,32348.0527151437,284.219529492188,56201.3920409747,
1501402,PA,2009,3065.22476945194,14445.1224575435,31994.4706232503,273.406526983642,56165.1959020467,
1501402,PA,2010,3449.11853074958,14539.0538127497,31489.0253878084,340.442009173584,56125.7805387962,
1501402,PA,2011,3480.04584359136,14645.7686264889,31432.982673111,311.305129168701,56073.3180069172,
1501402,PA,2012,3333.91143192145,14727.6375161251,31376.7717697485,305.852110687256,56199.2474507954,
1501402,PA,2013,3379.22285900273,14784.2122629579,31296.8712204501,283.864564746094,56199.2493721205,
1501402,PA,2014,3111.26455447395,14845.5250981145,31477.063469559,240.337932098389,56269.2292250326,
1501402,PA,2015,2843.04309772343,14982.0034292052,31551.0703540683,202.263130651856,56365.0402676298,
1501402,PA,2016,3631.90998524176,15031.2493778261,30762.2018475071,240.517683953857,56277.5413847495,
1501402,PA,2017,3735.23242672737,15125.6302242071,30548.8570269943,245.254703125001,56288.4458982262,
1501402,PA,2018,2990.97197706913,15167.4579497019,31248.8765728663,224.250465875244,56311.8633137662,
1501402,PA,2019,3742.54927183844,15160.6653918283,30713.5866685815,403.364334307861,55923.2546127215,
1501451,PA,2000,33495.7098039371,1.69680130615234,348135.171034471,440.780593914795,57788.7381168769,
1501451,PA,2001,41639.2688651186,1.69680130615234,340512.421645547,423.99222826538,57284.716810274,
1501451,PA,2002,45512.9912098753,1.69680130615234,336587.077886496,433.362176373291,57326.9682764546,
1501451,PA,2003,46220.4296154421,1.60749600219727,335651.283766718,402.923182305909,57585.852290034,
1501451,PA,2004,46640.7618706359,1.60749600219727,335183.910499697,389.347470043945,57646.4690141308,
1501451,PA,2005,46450.6681750492,1.60749600219727,335222.228515355,346.668701361085,57840.9234627393,
1501451,PA,2006,45680.7653341489,1.60749600219727,336035.966862771,301.233310314941,57842.5233472664,
1501451,PA,2007,46047.4312470522,1.60749600219727,335739.637051766,220.083674865723,57853.3368808173,
1501451,PA,2008,45015.4393701172,1.60749600219727,336789.76237918,230.438756207275,57824.8483489942,
1501451,PA,2009,45522.0716690551,1.60749600219727,336209.562338545,496.924964990235,57631.9298819039,
1501451,PA,2010,44705.7357625979,1.60749600219727,338309.843584091,398.446153955079,56446.4633538532,
1501451,PA,2011,44380.3927821114,1.60749600219727,337390.518461765,519.245490429688,57570.3321201855,
1501451,PA,2012,45690.5664205998,1.69680130615234,336250.142565423,472.387339825439,57447.3032233357,
1501451,PA,2013,48132.3366213438,1.69680130615234,333584.20360836,345.168664611816,57798.6906548838,
1501451,PA,2014,50259.6198940065,5.89415286254883,331451.205273424,442.122531109619,57703.2544990979,
1501451,PA,2015,50366.8462198361,5.80484752197266,331448.054733355,382.032788476563,57659.357761311,
1501451,PA,2016,50700.4476717533,5.98345827636719,331328.819202857,348.730974597168,57478.1150430193,
1501451,PA,2017,51916.8617577816,5.71554221801758,329875.108592726,313.832944964599,57750.5775128064,
1501451,PA,2018,57394.4342898319,10.6273360534668,324409.680265645,453.436845257568,57593.9176137152,
1501451,PA,2019,53120.239627607,10.8059466796875,328573.09437151,388.189003009034,57769.7674016917,
1501501,PA,2000,4867.05697839362,1083.29834268191,12123.7044257021,22.7011621337891,686.638220141608,
1501501,PA,2001,5064.04250706181,1138.71063865969,11898.2965205871,16.2661680908203,666.083294653326,
