sigla,nome_munic,geocodig_m,imoveis_car,area_car
BA,Itabuna,2914802,445,8092.4032
BA,Itacaré,2914901,204,13238.9689
BA,Itaeté,2915007,690,53153.3925
BA,Itagi,2915106,382,6982.6176
BA,Itagibá,2915205,375,25735.9357
BA,Itagimirim,2915304,144,50135.3526
BA,Itaguaçu Da Bahia,2915353,1235,107390.8167
BA,Itaju Do Colônia,2915403,153,25945.9984
BA,Itajuípe,2915502,53,3392.7236
BA,Itamaraju,2915601,1106,136262.069
BA,Itamari,2915700,155,2606.422
BA,Itambé,2915809,386,71738.1144
BA,Itanagra,2915908,126,29176.8767
BA,Itanhém,2916005,1826,76572.7284
BA,Itaparica,2916104,5,91.6675
BA,Itapé,2916203,323,6567.4502
BA,Itapebi,2916302,135,35975.8871
BA,Itapetinga,2916401,198,66955.1998
BA,Itapicuru,2916500,4445,67055.0132
BA,Itapitanga,2916609,60,15274.1799
BA,Itaquara,2916708,434,8555.6039
BA,Itarantim,2916807,443,60359.2993
BA,Itatim,2916856,975,22481.0093
BA,Itiruçu,2916906,463,9745.3419
BA,Itiúba,2917003,2985,53726.6869
BA,Itororó,2917102,299,9926.3785
BA,Ituaçu,2917201,2430,34091.0668
BA,Ituberá,2917300,257,7120.997
BA,Iuiu,2917334,1008,63881.7344
BA,Jaborandi,2917359,2587,732621.4744
BA,Jacaraci,2917409,2920,63023.3197
BA,Jacobina,2917508,800,37024.7156
BA,Jaguaquara,2917607,1507,34546.5279
BA,Jaguarari,2917706,2000,44717.2755
BA,Jaguaripe,2917805,1207,19994.1313
BA,Jandaíra,2917904,191,26217.2358
BA,Jequié,2918001,1798,62140.3094
BA,Jeremoabo,2918100,5014,80477.8744
BA,Jiquiriçá,2918209,1123,3536.1548
BA,Jitaúna,2918308,598,8079.991
BA,João Dourado,2918357,934,22289.5967
BA,Juazeiro,2918407,2403,124398.2926
BA,Jucuruçu,2918456,757,44431.379
BA,Jussara,2918506,1051,17372.6878
BA,Jussari,2918555,135,5455.7146
BA,Jussiape,2918605,1427,17473.877
BA,Lafaiete Coutinho,2918704,448,17961.4705
BA,Lagoa Real,2918753,1769,29736.2709
BA,Laje,2918803,2258,17022.3221
BA,Lajedão,2918902,597,37907.8612
BA,Lajedinho,2919009,164,22806.1099
BA,Lajedo Do Tabocal,2919058,451,11940.1575
BA,Lamarão,2919108,451,3537.6002
BA,Lapão,2919157,1079,17359.309
BA,Lauro De Freitas,2919207,7,96.3537
BA,Lençóis,2919306,349,19291.1345
BA,Licínio De Almeida,2919405,1227,31517.8303
BA,Livramento De Nossa Senhora,2919504,5554,87047.5496
BA,Luís Eduardo Magalhães,2919553,876,334766.536
BA,Macajuba,2919603,765,25162.9176
BA,Macarani,2919702,450,45736.2602
